Name,Halo-vs-DMSO.Rosa26.Log2FC,DMSO.ATF4-vs-Rosa26.Log2FC,DMSO.CEBPG-vs-Rosa26.Log2FC,Halo.ATF4-vs-Rosa26.Log2FC,Halo.CEBPG-vs-Rosa26.Log2FC,Halo-vs-DMSO.Rosa26.AdjPval,DMSO.ATF4-vs-Rosa26.AdjPval,DMSO.CEBPG-vs-Rosa26.AdjPval,Halo.ATF4-vs-Rosa26.AdjPval,Halo.CEBPG-vs-Rosa26.AdjPval,DMSO.Rosa26.meanNormCounts,Halo.Rosa26.meanNormCounts,DMSO.ATF4.meanNormCounts,Halo.ATF4.meanNormCounts,DMSO.CEBPG.meanNormCounts,Halo.CEBPG.meanNormCounts
Lsr,0.391384653200937,1.29338851585539,0.51661002618766,1.1269656760707,1.00720341991138,0.533466869302419,0.0415714890497375,0.515004964124851,0.059889341045711,0.119799783758967,-0.6912258191421413,-0.34543919556119734,0.4955072184856957,0.7525776538011156,-0.397918983264605,0.6653199168604707
Ckb,-1.32880428156883,-1.01303390847854,-0.434073667711846,-0.828421518784193,-0.631037396510633,5.54308426428473e-5,0.00213309971547299,0.21507773034905,0.0146534710826309,0.075220408293625,3.1423511511693367,1.8981942003047634,2.20053871055414,1.1642601873148668,2.7795034852151232,1.3821659225140268
Rarg,1.42292014450164,1.04572109088936,0.430768503066165,0.814249076295514,0.651509437765788,5.40226795457269e-6,7.2485331958658e-4,0.203250711266121,0.00121583876764733,0.0114998174903091,1.45005896167528,2.88168148034456,2.55810766344213,3.7259518129223665,1.92153895995346,3.6025232556511066
Tcea3,1.33698199688481,1.41820080160908,0.440694812281284,0.0377437626624227,0.631356658114588,0.0147985610677449,0.0200982182735607,0.573066137869716,0.958531113804711,0.266318814673035,-1.0952695194049833,0.0762975613660218,0.11627063309288535,0.116669849194825,-0.719943172838179,0.7313022550703506
Gria3,0.414579622833003,1.01891588318984,0.401570017909037,1.20317725853716,0.791605169291703,0.307344870789644,0.0211313233157282,0.448177733628442,0.00449139662017918,0.0747030252015169,0.10666446512066198,0.5155731437455957,1.1702673273398667,1.7594827030739233,0.5540474473963254,1.3874415180184434
Grin2d,1.3067653090978,1.73240623365824,0.526234596448065,0.647063425597509,0.933178699730709,0.0113311406784965,0.00340560495401586,0.451253896217132,0.194592632400124,0.0734837096709934,-0.671512009587367,0.58646139623838,0.9577072208504234,1.2398312272857834,-0.11439153122721933,1.5587805753541533
Hbp1,2.0182695077283,1.11192274217874,0.443057103408707,0.562197424348008,0.209305836773982,1.05399350008068e-11,8.73242436247231e-7,0.0258814261491372,9.46206373938593e-5,0.116525103119105,3.2550402726667333,5.308323336713457,4.452968417151046,5.93512798442447,3.7532736097320933,5.60811425927853
Klc4,2.04487190582544,1.04397148944082,0.288655575215886,0.669415310572875,0.548482629241322,2.7898742491589e-9,1.3088007485921e-4,0.306509500729006,6.537019729808e-4,0.00613729972542567,1.7478438949323034,3.8310302094204567,2.8875498880298736,4.55507104694488,2.1151802847174768,4.463348718508836
Map3k20,0.147704527411182,1.43475494565178,0.834115148686135,1.40755240968473,0.723087374516775,0.793318282923935,0.00889603415107827,0.196623569459576,0.0074431125469348,0.204436203674452,-0.2355085493159033,-0.08261002568259267,1.123121467751215,1.30103648631656,0.5460103612997868,0.6453268938315383
Kit,2.16413134996747,1.63358165054143,0.860015298308306,1.50060789111855,1.3737966439134,4.742758122703121e-10,6.21639832376146e-7,0.00572126767354202,2.12258124414393e-8,2.13995515024808e-7,1.4378822084922933,3.6247442651517567,3.1283487462295168,5.1805247623748665,2.34476157323792,5.078108671360186
Tnfsf14,-1.41005452461453,-1.26010807080521,-0.688639674883919,-0.519121932327038,-0.680895432876486,0.00124823802027417,0.0070131538527875,0.184240174985576,0.297287276082153,0.197386110629686,2.28335524752471,0.9489289152877747,1.1638819601829733,0.5018891593099802,1.6661476504148067,0.38974516080978705
Itgae,1.43311491937263,1.13494390351197,0.673047169722987,1.12883804912009,0.909159730055149,1.57025899819756e-11,3.98250409773944e-8,1.5336053383706e-4,2.25020555845512e-9,6.48387679829586e-8,4.9046544682317235,6.385101095557596,6.131595019829773,7.57426759721341,5.6314979960186635,7.381075713292256
Cyp27b1,2.69471583629377,1.6873108081903,0.937345273340282,0.481951305590943,0.686278932219732,1.28665421325169e-5,0.00541024495643804,0.195167790193105,0.284138614449351,0.139500350786233,-1.0209734546905296,1.4600462325619465,0.5550169153636486,1.95973841113439,-0.2846230333752762,2.1839672880420866
Vwa7,0.149347369525869,1.31232851981526,1.62341870413825,-0.124802604521532,0.599826787829881,0.826294705970161,0.0389479629544502,0.0427023529257881,0.883916805060546,0.400294905332303,-0.583212301712314,-0.40336191638268765,0.704031425542851,-0.492249328298678,0.955389746926606,0.14461788871574965
Clip3,1.13358526835828,1.38945453858476,0.93171025982447,-0.403427539114456,-0.24823693491753,0.026241286415905,0.0153253133389738,0.174832428178949,0.480658821696278,0.692938278877215,-0.7955127811546743,0.1523212090396633,0.5180673545860833,-0.10842808217561932,0.05509549001531427,0.1006413010154486
Trpv4,0.0661044765641067,1.09924435134856,0.375666621018875,0.993251580939082,0.310933385078066,0.914171367406869,0.0479484009228987,0.594563841578966,0.0685475749792524,0.644096196113362,-0.7260049918716089,-0.5610200105275484,0.3902014506353173,0.3707307519810503,-0.34143247626870576,-0.266691576878883
Pkd2l2,1.64187503088307,2.0781640309838,1.30124822882484,0.202292000371562,-0.124584240568675,0.0374411625555813,0.0175779052126758,0.224805842576173,0.828842155662301,0.902268045026998,-1.5829865693300533,-0.36184888147860733,0.14744841482266272,-0.03124629120368468,-0.5595631252828327,-0.46204300902011575
Npdc1,0.87768827221853,1.01298240213665,0.384989963372911,-0.0305145813044847,-0.18181422327753,0.0134537228252826,0.0113585000081104,0.409855741729249,0.950786035664541,0.680338560436262,0.693202845278956,1.5928819137159467,1.8067060895155667,1.6583157384529768,1.162611882819085,1.52701149284119
Cd83,3.13925428969738,2.13118360017066,1.64112477772417,1.18256363872234,0.960670442226969,6.894920701628e-4,0.0383234544260521,0.201471298933066,0.0601625808383738,0.159692642790562,-2.45685104404127,-0.23648808284185832,-1.1612710218368514,0.8728172729648617,-1.4230194019466,0.6748235728449866
Lama5,1.91635836035594,1.6482754291882,1.16604886988003,-0.0735074277246239,0.122356809545865,2.9998178242816303e-9,5.6613182682118e-7,5.6911750745173e-4,0.728134045130232,0.547267913215649,2.0295436408161898,3.9775806406853236,3.7573572282432264,3.9574367642597803,3.23658596023731,4.1768569892912
Col20a1,2.54040824862316,1.44897967156353,0.776121103041101,0.448731992696237,0.650374076009939,3.55270515564242e-8,2.8177731672748e-4,0.0805671256748565,0.0852827388591551,0.0201843069038846,1.69648045842082,4.2449287947865235,3.2328423487300535,4.75353862229386,2.5415279475129933,5.007315892679347
Zpbp2,-0.410766072883109,-1.05920870999431,-0.964437002447084,1.07577182125884,0.27241049433124,0.266315267812203,0.0159727172001286,0.0726856114419945,0.00799120552069958,0.563496562977096,0.9623762125794226,0.5991893865357273,0.04850087314673143,1.6850967895195266,0.10589769601315165,0.964807090173938
Utrn,1.51254541122691,1.0320829221475,0.689673330694219,0.54871808274219,0.486070114930991,7.48481184500808e-9,9.22296651231158e-6,0.00421588373532264,0.00157993067658482,0.00690716171547755,6.814767157986413,8.368764909816196,7.944114434840037,8.976775905946516,7.56420857172814,8.946949766768864
Tcp11l2,2.47453042760461,1.58226560231155,0.587027739844375,0.664222419364278,0.390002983995577,1.70015080569186e-10,1.85287760607116e-6,0.0532341761370581,5.2052424144138e-4,0.0385479144154467,2.24132655856963,4.761557578068103,3.913983981421233,5.485614067356097,2.9019783384218503,5.2384735259198205
Phlda1,-0.421928836571726,-1.15402806995969,-0.890971272047403,-0.444981383613692,-0.161208398590151,0.293535300817947,0.014899710062948,0.108318898077253,0.351270893837334,0.771216629653445,1.7858982685021934,1.4453737610390767,0.7282712629221064,1.0115335933515648,1.0062756507366193,1.3451574380527234
Sh3yl1,1.04721748804593,1.01675490136413,0.691448774947676,0.479735502924432,0.393763445539676,0.0202685362264429,0.0425511209853571,0.249718101310796,0.304377755592312,0.44026362581522,-0.4554928409511564,0.550783993432888,0.5681169753644086,1.073406334189781,0.20074026881120433,1.0068152252016311
Amn,4.19982649663749,3.23197277490689,3.29718896809768,0.693950707823244,0.609569391574173,5.9573393820485e-4,0.0200612325415232,0.0553863680768369,0.351130378277758,0.449803598819049,-2.87032264739495,-0.8025439841480694,-1.47757326497038,-0.1393198078697068,-1.4881370196976467,-0.1909279138430527
Cdc42bpb,0.821034152437833,1.10152197077203,0.76572384194509,-0.282721950326705,-0.0173963149346904,0.0802873993635838,0.0357100790067376,0.222865731527965,0.62259357450126,0.979752292509811,-0.07216489981712403,0.803191574441752,1.102487407112273,0.6065806098331573,0.7630370937988953,0.7484414665924624
Gpld1,1.53060751366944,1.00364236934682,0.523296638538489,0.96875430278683,0.516496487744517,0.00139700740589319,0.0490237050987131,0.394491313874298,0.024864862021094,0.278677645674669,-0.31045903192342567,1.2789575130619284,0.8393047420141557,2.2713618254550365,0.33175339254150676,1.8710400685623099
Kif13a,1.89370368522867,1.15201248796262,0.620527978564261,0.494143116448013,0.334350185936524,7.50863119976691e-9,4.09378522345062e-5,0.0367074870613442,0.00831583239353242,0.0903469711563461,1.6938952210843834,3.6086804657389466,2.91044666043145,4.157701623116544,2.34708906639143,4.025078736932657
Ahrr,0.927743204286203,1.44785681630894,0.9341170282186,1.04022282958484,0.66758446000285,0.107555961502261,0.0244020938695019,0.22632335177517,0.0698675692095976,0.297544391422566,-0.5379814005193271,0.44998336137846706,1.0933359357701657,1.61582985679354,0.5825770120908946,1.2609216231326053
Plk2,2.77650708335126,1.10368222274276,0.417776319428406,0.177399835035182,-0.390632769295553,3.3714887678055998e-12,1.65437547099703e-5,0.121309612752244,0.23673219168089,0.015721199077773602,1.2283718524902767,3.995177021441977,2.3829879487395433,4.231739161676264,1.6854179701991434,3.6900403980851735
Thrb,0.5020218934877,-1.05232506292966,-0.244032378380766,-1.17316369844107,-0.592975278378175,0.0296770590799509,7.5360276894597e-4,0.430889725251532,1.1481663591452e-4,0.0303187841841941,2.4910085547803535,3.0035692120194333,1.5650514435544,1.94896687812416,2.3091452837756634,2.533648708784553
