Name,Halo-vs-DMSO.Rosa26.Log2FC,DMSO.ATF4-vs-Rosa26.Log2FC,DMSO.CEBPG-vs-Rosa26.Log2FC,Halo.ATF4-vs-Rosa26.Log2FC,Halo.CEBPG-vs-Rosa26.Log2FC,Halo-vs-DMSO.Rosa26.AdjPval,DMSO.ATF4-vs-Rosa26.AdjPval,DMSO.CEBPG-vs-Rosa26.AdjPval,Halo.ATF4-vs-Rosa26.AdjPval,Halo.CEBPG-vs-Rosa26.AdjPval,DMSO.Rosa26.meanNormCounts,Halo.Rosa26.meanNormCounts,DMSO.ATF4.meanNormCounts,Halo.ATF4.meanNormCounts,DMSO.CEBPG.meanNormCounts,Halo.CEBPG.meanNormCounts
Tbx2,2.81633080564166,1.52756252702291,-0.316490606464661,0.523622648191153,0.806393630014577,0.00205296069990184,0.142457928457161,0.855394360912227,0.507307138395236,0.308241594625185,-1.88444451771249,0.45564138692532796,-0.849747246119801,0.9418060590428753,-2.223002297103723,1.277072942913623
Drp2,-1.23214618497363,-0.403874575318629,0.241373699379512,-0.717911606707882,-0.0665439944673833,0.0232636766533485,0.489524871993902,0.734692187363528,0.301775964136867,0.939623298569269,0.934753177632853,-0.08442424741299975,0.711282373533486,-0.6719262705773984,1.2747478874171834,-0.20358588559950597
Pparg,1.60945392962622,0.553832773472194,1.07212685319277,-1.09738005760888,0.24736096622075,0.0215649216924308,0.510027505236644,0.252954168016429,0.138188081060493,0.769175467646197,-0.7581785211313603,0.8770744449358187,-0.34440267088203935,-0.13103907043475513,0.33544326771571564,1.18877612629845
Pdgfb,1.04329518577286,0.544409037048118,0.257709807709215,0.81705656757574,0.60144070825378,0.00918073994432617,0.218425178345879,0.643651903409306,0.0382635229959081,0.158501117248936,0.6732262289412203,1.7522371901429434,1.270161387317383,2.580949205476467,1.0178379119611756,2.4342190022787302
Acvrl1,-1.54592406486766,-0.232942582491874,0.0792419237743639,5.4761529571713e-4,0.0649426982355417,1.19043525986295e-7,0.242188297845101,0.757733045720614,0.998646212824725,0.843104628290792,2.97414855457361,1.51782920089552,2.832154726647503,1.5702919807736333,3.1100948310123098,1.6615482054806834
Fasl,1.59271997539693,0.663442821425685,0.240931398097069,0.818943377364401,0.65350177388669894,1.48988858963728e-6,0.0214346917870839,0.489782080630514,0.00108519558441346,0.0107735996344844,1.7494553654017366,3.35744823129311,2.44680306788228,4.20645845116647,2.03249067160717,4.094614864721563
Mmp11,1.33006506636648,-0.131310923890015,0.043871830717301,-0.19932586322857,-0.378505447403562,7.97679453789495e-7,0.581814860685307,0.889001149496173,0.34154222301245,0.079121848348789,2.2596675949235765,3.615592105823367,2.2296924429558898,3.47592155113219,2.3598220016150866,3.3322265780057734
Scn4a,6.06712450017463,1.89520270473077,1.88074694724013,0.244671534784873,0.367426488074169,0.00105498887721388,0.450809101073745,0.526196458303211,0.824570012288925,0.728184301905497,-3.05495137071931,-0.9214182128729943,-2.8633337542428534,-0.4645880402760573,-2.8438953273854066,-0.5126763259393154
Epn2,1.79408948902454,0.802349230938865,0.289508166732001,0.0770123113798246,-0.162672809447523,0.0027788336006248,0.22025579727923,0.740086580583723,0.916316998593137,0.818035877705394,-0.21707426888233966,1.4795840097668433,0.3528349801764797,1.56869839526693,0.0020211701173300047,1.3802418133547363
Luzp1,-1.01064458422554,-0.404134007174756,-0.118431683541376,-0.433130479531409,-0.30262474926043,5.46126601579391e-8,0.00340560495401586,0.430090055045888,0.00298609684345496,0.0422861886094086,4.969790821961287,4.01553948894337,4.660536486930996,3.64391992864792,4.909085969942473,3.8020378521496934
Timp1,3.17242311786904,1.23771708190174,1.83690214438686,0.822424058912672,1.06694900199315,0.00537568554004296,0.419820174631555,0.269026515270384,0.313706579203538,0.202248067006916,-2.6830533218231,-1.0684396375866994,-2.17250896006645,-0.273179714199486,-1.9125723808058535,-0.06248572803531265
Mxd1,2.46776323619425,0.645392173415538,0.317443907148858,0.745515881245579,0.471887319612154,6.12890521754876e-13,2.0384412505847e-4,0.0866324460678009,2.9270589741071e-6,7.7607209110562e-4,3.54858186590241,6.05693643833633,4.28415095541589,6.866765111585203,3.923753541309107,6.6154692077142
Uhrf1,-1.26115094532768,-0.532591357105835,-0.146059952134509,-0.960250256587151,-0.644353691431417,2.8107019375166098e-11,1.66203290552701e-5,0.189460020276438,1.03381994027466e-8,3.48613710026052e-6,9.06498717527195,7.85507145984399,8.62964295815193,6.953657384246687,8.97789944954282,7.297912676839943
Ckb,-1.32880428156883,-1.01303390847854,-0.434073667711846,-0.828421518784193,-0.631037396510633,5.54308426428473e-5,0.00213309971547299,0.21507773034905,0.0146534710826309,0.075220408293625,3.1423511511693367,1.8981942003047634,2.20053871055414,1.1642601873148668,2.7795034852151232,1.3821659225140268
Rarg,1.42292014450164,1.04572109088936,0.430768503066165,0.814249076295514,0.651509437765788,5.40226795457269e-6,7.2485331958658e-4,0.203250711266121,0.00121583876764733,0.0114998174903091,1.45005896167528,2.88168148034456,2.55810766344213,3.7259518129223665,1.92153895995346,3.6025232556511066
Ube2c,-1.83968714322805,-0.66241937465604706,-0.44227610532163403,-0.717713413033959,-0.495134485077313,4.4409247539576e-12,1.68009399520742e-5,0.00666495821633393,6.306953327189e-6,6.1953874317862e-4,7.977419275318456,6.18646289954449,7.411793650335737,5.523434787839784,7.593776928775653,5.783212925354023
Cyp51,-1.6584247478374,-0.926067218771225,-0.472833280837183,-0.742404738285898,-0.543315078674491,7.48010603974301e-11,1.93553393301349e-6,0.00808382691454729,1.58404852913544e-5,7.6972100239319e-4,7.410380224461253,5.80571424861091,6.58135159332253,5.112218908293474,6.998610968417844,5.35222857191661
Foxm1,-1.32667803949118,-0.44556445470994,-0.193880272019608,-0.632545563268763,-0.469508024241066,6.1306941271410794e-12,4.73879844616499e-5,0.0750109629367971,1.04917376385095e-6,7.46805601256013e-5,7.1343401473874035,5.85798855403554,6.786686222884996,5.293904774327703,7.00014485279379,5.475284815533267
Tubb5,-1.09968776595662,-0.557349198950939,-0.27632183011541,-0.893482750707173,-0.67585857558588,3.0426395201680803e-9,8.05596603919758e-5,0.0577112179233002,2.31295383454246e-7,1.70326801316998e-5,11.1163665925492,10.0629613152731,10.6562033720222,9.234676636046677,10.898748811075,9.476948899203027
Tcea3,1.33698199688481,1.41820080160908,0.440694812281284,0.0377437626624227,0.631356658114588,0.0147985610677449,0.0200982182735607,0.573066137869716,0.958531113804711,0.266318814673035,-1.0952695194049833,0.0762975613660218,0.11627063309288535,0.116669849194825,-0.719943172838179,0.7313022550703506
Gramd2b,1.52345133240984,0.415565130061008,0.0980141638526261,0.863952509870221,0.600197099187945,1.89235151164078e-13,2.22898731326117e-5,0.270738331277368,1.7653388836057202e-9,3.29913057341306e-7,6.351888529286414,7.92487969733989,6.8636832145250235,8.85301713608852,6.508466763329407,8.612275445554523
