Name,NoGlucose.TotalRNA.Log2FC,NoGlucose.TotalRNA.AdjPval,NoGlucose.PolyRNA.Log2FC,NoGlucose.PolyRNA.AdjPval,NoGlucose.TotalRNA.meanNormCounts,NoGlucose.PolyRNA.meanNormCounts,NoGlutamine.TotalRNA.Log2FC,NoGlutamine.TotalRNA.AdjPval,NoGlutamine.PolyRNA.Log2FC,NoGlutamine.PolyRNA.AdjPval,NoGlutamine.TotalRNA.meanNormCounts,NoGlutamine.PolyRNA.meanNormCounts,NoBCAA.TotalRNA.Log2FC,NoBCAA.TotalRNA.AdjPval,NoBCAA.PolyRNA.Log2FC,NoBCAA.PolyRNA.AdjPval,NoBCAA.TotalRNA.meanNormCounts,NoBCAA.PolyRNA.meanNormCounts,NoArginine.TotalRNA.Log2FC,NoArginine.TotalRNA.AdjPval,NoArginine.PolyRNA.Log2FC,NoArginine.PolyRNA.AdjPval,NoArginine.TotalRNA.meanNormCounts,NoArginine.PolyRNA.meanNormCounts,NoMethionine.TotalRNA.Log2FC,NoMethionine.TotalRNA.AdjPval,NoMethionine.PolyRNA.Log2FC,NoMethionine.PolyRNA.AdjPval,NoMethionine.TotalRNA.meanNormCounts,NoMethionine.PolyRNA.meanNormCounts,Control.TotalRNA.meanNormCounts,Control.PolyRNA.meanNormCounts
Gab2,1.26270989804882,1.71199815578608e-6,1.01770680225274,1.13299144041697e-7,3.153606477958917,3.381295046480233,0.327683789575451,0.140021458822906,0.163850325622437,0.212716019137903,2.26041419756453,2.4383300664377634,0.272684943957801,0.250295411690623,0.100200127772173,0.479973657997351,2.1866591269637734,2.3588533964528735,-0.112005530561788,0.763632049233365,-0.201925861306104,0.169638011258257,1.7603035048111266,2.111878464311877,0.0556249688900571,0.838800781336799,0.320355891684926,0.0152845250218991,2.0287407262383534,2.5802928503318565,1.94712848303416,2.3332931276016433
Yju2b,1.46419279662437,2.70700627730044e-10,1.26358397299022,1.64100000924368e-10,4.226618104013213,4.431697973961047,0.810814051074439,1.4395713038107e-6,0.572714317324848,4.99066122699895e-6,3.6048954403268767,3.65024440933458,0.865537200809042,8.27735114483447e-7,0.514728980224367,3.18527843613091e-5,3.6391890189406433,3.5734747779608167,0.287965074165758,0.0977426102662796,0.236761341684716,0.0316140587673786,3.072091321238273,3.344792906778587,1.20903119565151,5.4970144005405e-9,0.777730168142425,6.18277819093831e-8,4.035155160345567,3.8399045680430235,2.8112816603061535,3.145919155675777
Slc1a2,-1.11708189475945,8.66311670429704e-5,-0.721022471588518,7.90693447251661e-5,0.5297869524010853,1.26517140031787,0.342496487967822,0.113702683828634,0.579889751945098,2.0401646293158e-4,1.9547197547327966,2.4570528859352767,1.02281478718979,2.69219598660247e-5,1.08440739636716,1.32623721001624e-7,2.611515302366887,2.9380094400379533,0.484750742919165,0.0706415352619281,0.85574091567023,1.53173702378226e-5,2.0882323328092465,2.757964448547513,1.47800789501255,1.31920220086732e-7,1.88187666095315,1.93695620917683e-11,3.1228395537415667,3.7366405710841035,1.6322885299591532,1.9489915001583733
Hmox1,1.85857431233627,1.5525982422747e-13,2.01707267471062,6.29377289275034e-13,6.091267722436626,6.88885068543194,0.978077870880586,9.38365234691665e-10,1.11892020109047,8.75559698389711e-10,5.2428107324013435,5.903037583579083,1.18474469899271,8.31431557856264e-11,1.27399767715559,3.08787354125732e-10,5.42958844229094,6.0414929033013465,0.240487336965814,0.0573333394121876,0.468546476688279,3.2904361026551e-4,4.492665415936087,5.286167225626997,0.894408219252124,7.51868358847869e-9,1.1323749708485,6.34837615669099e-10,5.199735305652093,5.900954515739737,4.28063198648557,4.855411927594287
Adcy9,-1.27009447201872,0.0156318989657533,-0.513613664261689,0.107828762800534,-1.62496369115287,-0.8262866990416557,-1.23507978524356,0.019015115028936,-0.792544762168729,0.0149802423541263,-1.5133054190082034,-1.2002936048754869,-0.657850886660495,0.203365963445706,-0.219574949476297,0.500220730932157,-0.994252276635789,-0.6766414477379147,-0.43998082077129,0.519434907884165,-0.076436842029618507,0.845064087218313,-0.785531519546707,-0.48332213912368066,-1.09757742430461,0.0367006571234482,-0.260769940856979,0.388109566457677,-1.30797353121657,-0.70231405131763,-0.45456615771428766,-0.38171892758197534
Susd2,-1.74984855536186,0.0425850641153635,-1.50450848949666,0.00386003745762421,-2.54207357333814,-2.1095525616754967,-1.07124505718053,0.185913547364248,-1.11759745050037,0.0153334348660031,-1.7496926262465466,-1.8179595764034067,-0.521732260982852,0.540365546247366,0.3861311346137,0.340410405635643,-1.3793716852612268,-0.5417729581011916,-0.274293119111342,0.819875251485468,-0.349446518931864,0.457740352615691,-1.4056395674308717,-1.143287125279278,0.549346411831695,0.433354426091259,0.660733010434145,0.0748488034172628,-0.40761841080556777,-0.21535685216995198,-0.92345094378524,-0.7882039482807643
Odad4,1.1698785712775,0.0169902008245535,1.15576742983805,0.00721370963608636,-0.04365894431503733,-0.37228011740931655,-0.322302310581577,0.620845845888827,0.275526129118035,0.544877280194081,-1.3656670394954005,-1.2768709542032672,-0.120698903417264,0.878131147035945,0.822826923216835,0.0592862914248326,-1.156107833710889,-0.76348841941958,-0.197711963362403,0.839579618624568,0.490306605648028,0.306820043849226,-1.2580927720513746,-0.9869858954287023,1.04183447432558,0.0392655662401456,1.43441097219328,7.9466442446941e-4,-0.05783909232416433,-0.18344750830092,-1.0242820466722518,-1.4512151929353767
Fhl2,1.59448736903633,9.44323152795199e-10,1.81693246183923,2.57845554436329e-13,4.084071026001543,4.540130835432714,1.3666061917395,5.59532666325397e-9,1.18557016156881,5.251208289589959e-11,3.8787072970914136,3.81961216507525,1.52383542632333,1.60824613974495e-9,1.41413029502091,9.43108235639136e-12,4.0141660551998335,4.031811294051117,0.732143319235737,5.8794034609399e-4,0.862690862058654,1.3471404161249e-7,3.233022848744503,3.53265859024689,1.4706333822225,3.4834741644208e-9,1.27204480261269,2.06933595576944e-11,4.02887457324319,3.890156266669503,2.5343161063494,2.7075964220645066
1700109H08Rik,-1.64190746664352,1.10080281840131e-6,-1.20537934539074,3.8962979070143e-4,-0.08227608414430927,-0.6027305904056853,-1.08185692744134,7.86216155834691e-5,-1.00518535147538,0.00117859233734972,0.459999385322634,-0.5582163464129584,-0.624482191694956,0.0101943142837505,-0.379098488185918,0.179254703453587,0.8888853617290836,0.05620172081853067,-0.486023322060281,0.0949802435663394,-0.358094955736311,0.225426589097606,0.9984285013345193,0.14547679744325853,-0.803065025738685,0.0015145828754543,-0.087083645590572,0.749548891616166,0.7830020982504596,0.3593242103458327,1.51878137735462,0.5287389562162224
Dqx1,-1.52079323549932,0.00555292788413967,-1.0508355567197,0.0109121145066904,-1.027539149992804,-1.7837905903240532,-0.365292143807876,0.465675182240599,0.27087044107563,0.421291463645494,0.1413460833050871,-0.5544896761786874,-0.373390656919882,0.48248185933382,0.271064116076376,0.448131558908511,0.019313768770724337,-0.5988815813129067,0.115906665814401,0.880989408812295,0.208475901943147,0.597886363636613,0.5579536562423401,-0.5764785006046047,0.397614254829574,0.392211987956295,0.833157103512455,0.00973702535807821,0.844724520040547,-0.06372760032778206,0.48926849155011565,-0.7665197049778517
